,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,Cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Growth_percentage,Unemployment_percentage,Url,Average_Annual_percent_sunshine,Airport_score,Coordenadas
0,8,0.59,1,12,13,Aarhus University,37.0,1.7,62.0,15.0,1700,1300,840,Aarhus,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",250200,93.03, Equal, Sexual orientation and gender identity,0.99,0.25,51,95,18,21,DKK,44342.66,0.05,0.04,https://teleport.org/cities/aarhus/,0.0,0.12,"(56.1496278, 10.2134046)"
1,26,0.17,1,24,16,University of Adelaide,50.0,4.3,80.0,13.0,1500,1200,1000,Adelaide,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",1708700,79.0,No hay dato, Legal,Varies by Region,0.1,82,89,37,91,AUD,46433.3,0.07,0.06,https://teleport.org/cities/adelaide/,12.6,0.19,"(-34.9281805, 138.5999312)"
2,23,0.11,16,328,24,University of New Mexico,52.0,2.9,37.0,12.0,1200,950,760,Albuquerque,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",630800,93.13, Equal, Sexual orientation and gender identity,0.45,0.07,127,99,35,10,USD,54596.65,0.07,0.05,https://teleport.org/cities/albuquerque/,168.0,0.18,"(35.0841034, -106.650985)"
3,45,0.66,1,1,39,No hay dato,83.0,0.68,19.0,5.7,620,480,340,Almaty,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.",2029800,66.56, Equal,Ambiguous,0.64,0.12,61,68,24,53,KZT,24019.95,0.09,0.06,https://teleport.org/cities/almaty/,64.0,0.26,"(43.2363924, 76.9457275)"
4,237,0.68,1,4,10,University of Amsterdam,49.0,2.1,100.0,18.0,2400,2000,1600,Amsterdam,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live.
Amsterdam is one of the top ten city matches for 20.1% of Teleport users.",2628100,97.37, Equal, Sexual orientation and gender identity,0.67,0.21,284,339,187,154,EUR,47354.53,0.03,0.06,https://teleport.org/cities/amsterdam/,12.9,0.98,"(52.3727598, 4.8936041)"
5,38,0.11,20,135,16,No hay dato,61.0,2.4,57.0,17.0,1700,1400,1000,Anchorage,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance.",305300,76.56, Equal, No protections,0.64,0.0,65,27,24,9,USD,54596.65,0.04,0.05,https://teleport.org/cities/anchorage/,61.0,0.23,"(61.2163129, -149.894852)"
6,0,0.0,2,17,0,No hay dato,9.4,2.1,0.0,49.0,970,800,640,Andorra,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance.",73900,73.05, Equal,Sexual orientation only,1.00,0.0,10,8,21,5,EUR,0.0,-0.01,0.0,https://teleport.org/cities/andorra/,0.0,0.0,"(42.5407167, 1.5732033)"
7,42,0.16,2,13,43,Bilkent University,33.0,2.0,30.0,7.3,390,330,270,Ankara,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Ankara is one of the top ten city matches for 0.9% of Teleport users.",5072900,9.0,Ambiguous, Legal, Unrecognized,0.18,184,200,88,177,TRY,19610.44,0.13,0.1,https://teleport.org/cities/ankara/,243.0,0.25,"(39.9207886, 32.8540482)"
8,8,0.12,12,95,16,No hay dato,35.0,2.2,22.0,13.0,1500,1300,1100,Asheville,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.",112400,67.58,Ambiguous, No protections,0.86,0.07,78,73,24,20,USD,54596.65,0.06,0.05,https://teleport.org/cities/asheville/,101.0,0.12,"(35.6009498, -82.5540161)"
9,10,0.0,8,17,0,No hay dato,30.0,1.1,26.0,4.3,710,550,390,Asuncion,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.",2385900,49.54, Unequal, No protections,0.92,0.1,193,277,72,226,PYG,8448.58,0.12,0.06,https://teleport.org/cities/asuncion/,12.5,0.13,"(-25.2800459, -57.6343814)"
10,104,0.26,2,23,35,National and Kapodistrian University of Athens,42.0,1.8,40.0,16.0,690,560,430,Athens,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities .
Athens is one of the top ten city matches for 0.7% of Teleport users.",3868500,53.0, Single only, Legal, Civil unions,0.24,50,96,78,100,EUR,25858.77,-0.02,0.25,https://teleport.org/cities/athens/,266.7,0.48,"(37.9839412, 23.7283052)"
11,217,0.15,13,118,24,Georgia Institute of Technology,37.0,2.2,96.0,15.0,1800,1400,1100,Atlanta,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Atlanta is one of the top ten city matches for 6.5% of Teleport users.",2928400,70.0, Equal, No protections,0.10,0.08,308,291,168,202,USD,54596.65,0.1,0.05,https://teleport.org/cities/atlanta/,110.0,0.91,"(33.7489924, -84.3902644)"
12,45,0.0,1,23,12,University of Auckland,48.0,3.8,140.0,13.0,2000,1600,1200,Auckland,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Auckland is one of the top ten city matches for 1.7% of Teleport users.",1359700,93.65, Equal, Sexual orientation and gender identity,0.52,0.15,69,54,30,63,NZD,35151.75,0.06,0.05,https://teleport.org/cities/auckland/,182.9,0.26,"(-36.852095, 174.7631803)"
13,44,0.11,11,123,24,University of Texas at Austin,51.0,3.0,50.0,14.0,2000,1600,1300,Austin,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Austin is one of the top ten city matches for 9.0% of Teleport users.",1531800,64.44, Equal, No protections,0.71,0.08,149,132,54,71,USD,54596.65,0.16,0.05,https://teleport.org/cities/austin/,116.0,0.26,"(30.2711286, -97.7436995)"
14,39,0.2,0,4,0,No hay dato,38.0,0.89,9.9,6.4,430,340,250,Baku,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.
Baku is one of the top ten city matches for 1.6% of Teleport users.",1512400,43.77, Equal, No protections,0.89,0.18,70,72,56,89,AZN,17618.28,0.05,0.06,https://teleport.org/cities/baku/,12.7,0.24,"(40.163999149999995, 50.27770925520258)"
15,42,0.14,1,1,48,No hay dato,16.0,2.1,4.2,43.0,290,230,180,Bali,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors.
Bali is one of the top ten city matches for 0.7% of Teleport users.",1356600,3.0,Married couples only,Varies by Region, Unrecognized,0.1,171,157,80,68,IDR,10640.9,0.08,0.06,https://teleport.org/cities/bali/,207.0,0.25,"(48.8588897, 2.3200410217200766)"
16,0,0.0,10,119,24,Johns Hopkins University,59.0,2.1,68.0,13.0,1900,1600,1200,Baltimore,This urban area is consistently ahead in healthcare.,38,96.88,No hay dato,No hay dato,No hay dato,0.0,0,0,0,0,USD,0.0,0.8,0.0,https://teleport.org/cities/baltimore/,0.0,0.25,"(39.2908816, -76.610759)"
17,139,0.21,1,16,47,Mahidol University,77.0,1.8,35.0,4.2,1300,910,540,Bangkok,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bangkok is one of the top ten city matches for 2.7% of Teleport users.",9052100,61.15, Equal, Sexual orientation and gender identity,0.59,0.1,291,295,304,196,THB,14354.3,0.1,0.01,https://teleport.org/cities/bangkok/,12.5,0.62,"(13.7525438, 100.4934734)"
18,163,0.46,1,10,22,Autonomous University of Barcelona,54.0,0.98,62.0,14.0,1500,1200,980,Barcelona,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many.
Barcelona is one of the top ten city matches for 2.3% of Teleport users.",6626600,88.0, Legal, Legal, Legal,0.21,98,169,89,141,EUR,33711.41,0.0,0.2,https://teleport.org/cities/barcelona/,73.0,0.71,"(41.3828939, 2.1774322)"
19,215,0.5,0,5,8,Peking University,94.0,0.9,30.0,6.7,1700,1300,860,Beijing,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Beijing is one of the top ten city matches for 2.5% of Teleport users.",12377000,21.0, Illegal, Legal, Not legal,0.17,60,65,59,55,CNY,12879.85,0.18,0.04,https://teleport.org/cities/beijing/,12.7,0.9,"(39.906217, 116.3912757)"
20,45,0.0,1,21,51,American University of Beirut,73.0,1.3,62.0,19.0,1400,1000,720,Beirut,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety.",3176800,18.0, Legal,Ambiguous, Unrecognized,0.1,153,86,16,3,LBP,17985.86,0.07,0.0,https://teleport.org/cities/beirut/,12.6,0.26,"(33.8959203, 35.47843)"
21,38,0.59,0,6,17,Queen’s University Belfast,40.0,2.4,83.0,15.0,1100,950,780,Belfast,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",344600,76.0, Legal, Legal, Legal,0.2,58,47,17,13,GBP,39510.94,0.01,0.05,https://teleport.org/cities/belfast/,209.5,0.23,"(54.596391, -5.9301829)"
22,51,0.14,3,58,0,University of Belgrade,33.0,0.73,31.0,9.4,620,490,350,Belgrade,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Belgrade is one of the top ten city matches for 2.0% of Teleport users.",1737800,75.85, Equal, Sexual orientation and gender identity,0.71,0.2,39,63,29,90,RSD,13329.15,-0.01,0.19,https://teleport.org/cities/belgrade/,75.0,0.28,"(44.8178131, 20.4568974)"
23,40,0.57,0,4,0,Indian Institute of Science,30.0,1.6,24.0,3.8,430,330,230,Bengaluru,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Bengaluru is one of the top ten city matches for 2.0% of Teleport users.",5498100,24.29, Equal,Ambiguous,0.48,0.06,63,59,16,63,INR,5855.31,0.16,0.08,https://teleport.org/cities/bengaluru/,12.5,0.24,"(12.9767936, 77.590082)"
24,49,0.37,2,31,13,University of Bergen,54.0,4.0,90.0,22.0,1800,1500,1200,Bergen,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",271500,93.13, Equal, Sexual orientation and gender identity,0.57,0.25,34,35,36,28,NOK,66937.46,0.07,0.05,https://teleport.org/cities/bergen/,113.0,0.28,"(60.3943055, 5.3259192)"
25,142,0.78,1,30,10,Humboldt University of Berlin,41.0,1.2,100.0,10.0,1500,1200,850,Berlin,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe.
Berlin is one of the top ten city matches for 30.8% of Teleport users.",8690300,87.0, Step-child adoption only, Legal, Civil unions,0.19,90,109,159,48,EUR,45888.42,0.0,0.04,https://teleport.org/cities/berlin/,160.0,0.63,"(52.5170365, 13.3888599)"
26,152,0.7,3,24,11,University of Bern,110.0,1.7,91.0,23.0,2200,1700,1200,Bern,"Bern, Switzerland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Bern is one of the top ten city matches for 2.3% of Teleport users.",233100,81.79, Equal, Sexual orientation and gender identity,0.88,0.08,28,54,32,18,CHF,58087.21,0.01,0.03,https://teleport.org/cities/bern/,213.0,0.35,"(46.9482713, 7.4514512)"
27,42,0.59,1,10,17,No hay dato,56.0,1.1,51.0,15.0,1300,1100,840,Bilbao,"Bilbao, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",42,88.0, Legal, Legal, Legal,0.0,43,52,20,17,EUR,33711.41,0.82,0.0,https://teleport.org/cities/bilbao/,35.0,0.25,"(43.2630018, -2.9350039)"
28,102,0.69,0,6,17,University of Birmingham,34.0,3.0,82.0,16.0,1600,1500,1300,Birmingham,"Birmingham, United Kingdom, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.
Birmingham is one of the top ten city matches for 0.6% of Teleport users.",2715300,76.0, Legal, Legal, Legal,0.2,83,96,43,92,GBP,39510.94,0.03,0.05,https://teleport.org/cities/birmingham/,12.9,0.48,"(52.4796992, -1.9026911)"
29,76,0.0,26,6,48,University of the Andes,46.0,0.96,35.0,4.6,710,570,430,Bogota,"Bogota, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, tolerance and outdoors.
Bogota is one of the top ten city matches for 1.4% of Teleport users.",8531700,89.16, Equal,Sexual orientation only,0.80,0.16,70,44,57,75,COP,13430.45,0.07,0.1,https://teleport.org/cities/bogota/,12.5,0.38,"(4.6533326, -74.083652)"
