,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,url_uno,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,url_otro,Large_apartment,Medium_apartment,Small_apartment,url_uno,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,url_otro
0,8,0.59,1,12,13,Aarhus University,https://teleport.org/cities/aarhus/,$37.00,$1.70,$62.00,$15.00,https://teleport.org/cities/aarhus/,$1700,$1300,$840,https://teleport.org/cities/aarhus/,Aarhus,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","250,200",93.03,✔ Equal,✔ Sexual orientation and gender identity,0.99,0.25,51,95,18,21,DKK,$44342.66,https://teleport.org/cities/aarhus/
1,26,0.17,1,24,16,University of Adelaide,https://teleport.org/cities/adelaide/,$50.00,$4.30,$80.00,$13.00,https://teleport.org/cities/adelaide/,$1500,$1200,$1000,https://teleport.org/cities/adelaide/,Adelaide,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","1,708,700",0.79,N/A,✔ Legal,Varies by Region,0.10,82,89,37,91,AUD,$46433.30,https://teleport.org/cities/adelaide/
2,23,0.11,16,328,24,University of New Mexico,https://teleport.org/cities/albuquerque/,$52.00,$2.90,$37.00,$12.00,https://teleport.org/cities/albuquerque/,$1200,$950,$760,https://teleport.org/cities/albuquerque/,Albuquerque,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","630,800",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.45,0.07,127,99,35,10,USD,$54596.65,https://teleport.org/cities/albuquerque/
3,45,0.66,1,1,39,427.97,https://teleport.org/cities/almaty/,$83.00,$0.68,$19.00,$5.70,https://teleport.org/cities/almaty/,$620,$480,$340,https://teleport.org/cities/almaty/,Almaty,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.","2,029,800",66.56,✔ Equal,Ambiguous,0.64,0.12,61,68,24,53,KZT,$24019.95,https://teleport.org/cities/almaty/
4,237,0.68,1,4,10,University of Amsterdam,https://teleport.org/cities/amsterdam/,$49.00,$2.10,$100.00,$18.00,https://teleport.org/cities/amsterdam/,$2400,$2000,$1600,https://teleport.org/cities/amsterdam/,Amsterdam,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live.
Amsterdam is one of the top ten city matches for 20.1% of Teleport users.","2,628,100",97.37,✔ Equal,✔ Sexual orientation and gender identity,0.67,0.21,284,339,187,154,EUR,$47354.53,https://teleport.org/cities/amsterdam/
5,38,0.11,20,135,16,478.04,https://teleport.org/cities/anchorage/,$61.00,$2.40,$57.00,$17.00,https://teleport.org/cities/anchorage/,$1700,$1400,$1000,https://teleport.org/cities/anchorage/,Anchorage,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance.","305,300",76.56,✔ Equal,✖ No protections,0.64,No hay dato,65,27,24,9,USD,$54596.65,https://teleport.org/cities/anchorage/
6,0.10,No hay dato,2,17,No hay dato,No hay dato,https://teleport.org/cities/andorra/,$9.40,$2.10,No hay dato,$49.00,https://teleport.org/cities/andorra/,$970,$800,$640,https://teleport.org/cities/andorra/,Andorra,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance.","73,900",73.05,✔ Equal,Sexual orientation only,1.00,No hay dato,10,8,21,5,EUR,No hay dato,https://teleport.org/cities/andorra/
7,42,0.16,2,13,43,Bilkent University,https://teleport.org/cities/ankara/,$33.00,$2.00,$30.00,$7.30,https://teleport.org/cities/ankara/,$390,$330,$270,https://teleport.org/cities/ankara/,Ankara,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Ankara is one of the top ten city matches for 0.9% of Teleport users.","5,072,900",0.09,Ambiguous,✔ Legal,✖ Unrecognized,0.18,184,200,88,177,TRY,$19610.44,https://teleport.org/cities/ankara/
8,8,0.12,12,95,16,478.04,https://teleport.org/cities/asheville/,$35.00,$2.20,$22.00,$13.00,https://teleport.org/cities/asheville/,$1500,$1300,$1100,https://teleport.org/cities/asheville/,Asheville,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.","112,400",67.58,Ambiguous,✖ No protections,0.86,0.07,78,73,24,20,USD,$54596.65,https://teleport.org/cities/asheville/
9,10,No hay dato,8,17,No hay dato,No hay dato,https://teleport.org/cities/asuncion/,$30.00,$1.10,$26.00,$4.30,https://teleport.org/cities/asuncion/,$710,$550,$390,https://teleport.org/cities/asuncion/,Asuncion,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.","2,385,900",49.54,✖ Unequal,✖ No protections,0.92,0.10,193,277,72,226,PYG,$8448.58,https://teleport.org/cities/asuncion/
