,Climate,Growth_percentage,GDP_per_capita,Unemployment_percentage,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
0,0.0,0.05,44.343,0.04,93.03, Equal, Sexual orientation and gender identity,0.99,0.25,51,95,18,21,DKK,37.0,1.7,62.0,15.0,0.12,8,0.59,1,12,13,Aarhus University,1700,1300,840,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",250200,Aarhus
1,12.6,0.07,46.433,0.06,79.0,No hay dato, Legal,Varies by Region,0.1,82,89,37,91,AUD,50.0,4.3,80.0,13.0,0.19,26,0.17,1,24,16,University of Adelaide,1500,1200,1000,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",1708700,Adelaide
2,168.0,0.07,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.45,0.07,127,99,35,10,USD,52.0,2.9,37.0,12.0,0.18,23,0.11,16,328,24,University of New Mexico,1200,950,760,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",630800,Albuquerque
3,64.0,0.09,24.02,0.06,66.56, Equal,Ambiguous,0.64,0.12,61,68,24,53,KZT,83.0,0.68,19.0,5.7,0.26,45,0.66,1,1,39,No hay dato,620,480,340,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.",2029800,Almaty
4,12.9,0.03,47.355,0.06,97.37, Equal, Sexual orientation and gender identity,0.67,0.21,284,339,187,154,EUR,49.0,2.1,100.0,18.0,0.98,237,0.68,1,4,10,University of Amsterdam,2400,2000,1600,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live.
Amsterdam is one of the top ten city matches for 20.1% of Teleport users.",2628100,Amsterdam
5,61.0,0.04,54.597,0.05,76.56, Equal, No protections,0.64,0.0,65,27,24,9,USD,61.0,2.4,57.0,17.0,0.23,38,0.11,20,135,16,No hay dato,1700,1400,1000,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance.",305300,Anchorage
6,0.0,-0.01,4.0,0.0,73.05, Equal,Sexual orientation only,1.00,0.0,10,8,21,5,EUR,9.4,2.1,0.0,49.0,0.0,0,0.0,2,17,0,No hay dato,970,800,640,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance.",73900,Andorra
7,243.0,0.13,19.61,0.1,9.0,Ambiguous, Legal, Unrecognized,0.18,184,200,88,177,TRY,33.0,2.0,30.0,7.3,0.25,42,0.16,2,13,43,Bilkent University,390,330,270,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Ankara is one of the top ten city matches for 0.9% of Teleport users.",5072900,Ankara
8,101.0,0.06,54.597,0.05,67.58,Ambiguous, No protections,0.86,0.07,78,73,24,20,USD,35.0,2.2,22.0,13.0,0.12,8,0.12,12,95,16,No hay dato,1500,1300,1100,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.",112400,Asheville
9,12.5,0.12,8.449,0.06,49.54, Unequal, No protections,0.92,0.1,193,277,72,226,PYG,30.0,1.1,26.0,4.3,0.13,10,0.0,8,17,0,No hay dato,710,550,390,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation.",2385900,Asuncion
10,266.7,-0.02,25.859,0.25,53.0, Single only, Legal, Civil unions,0.24,50,96,78,100,EUR,42.0,1.8,40.0,16.0,0.48,104,0.26,2,23,35,National and Kapodistrian University of Athens,690,560,430,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities .
Athens is one of the top ten city matches for 0.7% of Teleport users.",3868500,Athens
11,110.0,0.1,54.597,0.05,70.0, Equal, No protections,0.10,0.08,308,291,168,202,USD,37.0,2.2,96.0,15.0,0.91,217,0.15,13,118,24,Georgia Institute of Technology,1800,1400,1100,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Atlanta is one of the top ten city matches for 6.5% of Teleport users.",2928400,Atlanta
12,182.9,0.06,35.152,0.05,93.65, Equal, Sexual orientation and gender identity,0.52,0.15,69,54,30,63,NZD,48.0,3.8,140.0,13.0,0.26,45,0.0,1,23,12,University of Auckland,2000,1600,1200,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Auckland is one of the top ten city matches for 1.7% of Teleport users.",1359700,Auckland
13,116.0,0.16,54.597,0.05,64.44, Equal, No protections,0.71,0.08,149,132,54,71,USD,51.0,3.0,50.0,14.0,0.26,44,0.11,11,123,24,University of Texas at Austin,2000,1600,1300,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Austin is one of the top ten city matches for 9.0% of Teleport users.",1531800,Austin
14,12.7,0.05,17.618,0.06,43.77, Equal, No protections,0.89,0.18,70,72,56,89,AZN,38.0,0.89,9.9,6.4,0.24,39,0.2,0,4,0,No hay dato,430,340,250,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.
Baku is one of the top ten city matches for 1.6% of Teleport users.",1512400,Baku
