,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,url_uno,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,url_otro,Large_apartment,Medium_apartment,Small_apartment,url,cities,Description
0,8,0.59,1,12,13,Aarhus University,https://teleport.org/cities/aarhus/,$37.00,$1.70,$62.00,$15.00,https://teleport.org/cities/aarhus/,$1700,$1300,$840,https://teleport.org/cities/aarhus/,Aarhus,"Aarhus, Denmark, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality."
1,26,0.17,1,24,16,University of Adelaide,https://teleport.org/cities/adelaide/,$50.00,$4.30,$80.00,$13.00,https://teleport.org/cities/adelaide/,$1500,$1200,$1000,https://teleport.org/cities/adelaide/,Adelaide,"Adelaide, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality."
2,23,0.11,16,328,24,University of New Mexico,https://teleport.org/cities/albuquerque/,$52.00,$2.90,$37.00,$12.00,https://teleport.org/cities/albuquerque/,$1200,$950,$760,https://teleport.org/cities/albuquerque/,Albuquerque,"Albuquerque, New Mexico, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
3,45,0.66,1,1,39,427.97,https://teleport.org/cities/almaty/,$83.00,$0.68,$19.00,$5.70,https://teleport.org/cities/almaty/,$620,$480,$340,https://teleport.org/cities/almaty/,Almaty,"Almaty, Kazakhstan, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation."
4,237,0.68,1,4,10,University of Amsterdam,https://teleport.org/cities/amsterdam/,$49.00,$2.10,$100.00,$18.00,https://teleport.org/cities/amsterdam/,$2400,$2000,$1600,https://teleport.org/cities/amsterdam/,Amsterdam,"Amsterdam is one of the most bike-friendly cities on the planet: It has more bikes than people and 63% of its residents use them for their daily commute. It is also one of the best cities in Europe for starting and operating a business. With its clean environment, cultural diversity and well-developed infrastructure, Amsterdam is a great place to live.
Amsterdam is one of the top ten city matches for 20.1% of Teleport users."
5,38,0.11,20,135,16,478.04,https://teleport.org/cities/anchorage/,$61.00,$2.40,$57.00,$17.00,https://teleport.org/cities/anchorage/,$1700,$1400,$1000,https://teleport.org/cities/anchorage/,Anchorage,"Anchorage, Alaska, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and tolerance."
6,0.10,No hay dato,2,17,No hay dato,No hay dato,https://teleport.org/cities/andorra/,$9.40,$2.10,No hay dato,$49.00,https://teleport.org/cities/andorra/,$970,$800,$640,https://teleport.org/cities/andorra/,Andorra,"Andorra features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in environmental quality, internet access and tolerance."
7,42,0.16,2,13,43,Bilkent University,https://teleport.org/cities/ankara/,$33.00,$2.00,$30.00,$7.30,https://teleport.org/cities/ankara/,$390,$330,$270,https://teleport.org/cities/ankara/,Ankara,"Ankara, Turkey, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.
Ankara is one of the top ten city matches for 0.9% of Teleport users."
8,8,0.12,12,95,16,478.04,https://teleport.org/cities/asheville/,$35.00,$2.20,$22.00,$13.00,https://teleport.org/cities/asheville/,$1500,$1300,$1100,https://teleport.org/cities/asheville/,Asheville,"Asheville, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance."
9,10,No hay dato,8,17,No hay dato,No hay dato,https://teleport.org/cities/asuncion/,$30.00,$1.10,$26.00,$4.30,https://teleport.org/cities/asuncion/,$710,$550,$390,https://teleport.org/cities/asuncion/,Asuncion,"Asuncion, Paraguay, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and taxation."
10,104,0.26,2,23,35,National and Kapodistrian University of Athens,https://teleport.org/cities/athens/,$42.00,$1.80,$40.00,$16.00,https://teleport.org/cities/athens/,$690,$560,$430,https://teleport.org/cities/athens/,Athens,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities .
Athens is one of the top ten city matches for 0.7% of Teleport users."
11,217,0.15,13,118,24,Georgia Institute of Technology,https://teleport.org/cities/atlanta/,$37.00,$2.20,$96.00,$15.00,https://teleport.org/cities/atlanta/,$1800,$1400,$1100,https://teleport.org/cities/atlanta/,Atlanta,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Atlanta is one of the top ten city matches for 6.5% of Teleport users."
12,45,No hay dato,1,23,12,University of Auckland,https://teleport.org/cities/auckland/,$48.00,$3.80,$140.00,$13.00,https://teleport.org/cities/auckland/,$2000,$1600,$1200,https://teleport.org/cities/auckland/,Auckland,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Auckland is one of the top ten city matches for 1.7% of Teleport users."
13,44,0.11,11,123,24,University of Texas at Austin,https://teleport.org/cities/austin/,$51.00,$3.00,$50.00,$14.00,https://teleport.org/cities/austin/,$2000,$1600,$1300,https://teleport.org/cities/austin/,Austin,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Austin is one of the top ten city matches for 9.0% of Teleport users."
14,39,0.20,0,4,No hay dato,No hay dato,https://teleport.org/cities/baku/,$38.00,$0.89,$9.90,$6.40,https://teleport.org/cities/baku/,$430,$340,$250,https://teleport.org/cities/baku/,Baku,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.
Baku is one of the top ten city matches for 1.6% of Teleport users."
15,42,0.14,1,1,48,362.42,https://teleport.org/cities/bali/,$16.00,$2.10,$4.20,$43.00,https://teleport.org/cities/bali/,$290,$230,$180,https://teleport.org/cities/bali/,Bali,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors.
Bali is one of the top ten city matches for 0.7% of Teleport users."
16,0.48,No hay dato,10,119,24,Johns Hopkins University,https://teleport.org/cities/baltimore/,$59.00,$2.10,$68.00,$13.00,https://teleport.org/cities/baltimore/,$1900,$1600,$1200,https://teleport.org/cities/baltimore/,Baltimore,This urban area is consistently ahead in healthcare.
17,139,0.21,1,16,47,Mahidol University,https://teleport.org/cities/bangkok/,$77.00,$1.80,$35.00,$4.20,https://teleport.org/cities/bangkok/,$1300,$910,$540,https://teleport.org/cities/bangkok/,Bangkok,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bangkok is one of the top ten city matches for 2.7% of Teleport users."
18,163,0.46,1,10,22,Autonomous University of Barcelona,https://teleport.org/cities/barcelona/,$54.00,$0.98,$62.00,$14.00,https://teleport.org/cities/barcelona/,$1500,$1200,$980,https://teleport.org/cities/barcelona/,Barcelona,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many.
Barcelona is one of the top ten city matches for 2.3% of Teleport users."
19,215,0.50,0,5,8,Peking University,https://teleport.org/cities/beijing/,$94.00,$0.90,$30.00,$6.70,https://teleport.org/cities/beijing/,$1700,$1300,$860,https://teleport.org/cities/beijing/,Beijing,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Beijing is one of the top ten city matches for 2.5% of Teleport users."
20,45,No hay dato,1,21,51,American University of Beirut,https://teleport.org/cities/beirut/,$73.00,$1.30,$62.00,$19.00,https://teleport.org/cities/beirut/,$1400,$1000,$720,https://teleport.org/cities/beirut/,Beirut,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety."
21,38,0.59,0,6,17,Queen’s University Belfast,https://teleport.org/cities/belfast/,$40.00,$2.40,$83.00,$15.00,https://teleport.org/cities/belfast/,$1100,$950,$780,https://teleport.org/cities/belfast/,Belfast,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
22,51,0.14,3,58,0.39,University of Belgrade,https://teleport.org/cities/belgrade/,$33.00,$0.73,$31.00,$9.40,https://teleport.org/cities/belgrade/,$620,$490,$350,https://teleport.org/cities/belgrade/,Belgrade,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Belgrade is one of the top ten city matches for 2.0% of Teleport users."
23,40,0.57,0,4,No hay dato,Indian Institute of Science,https://teleport.org/cities/bengaluru/,$30.00,$1.60,$24.00,$3.80,https://teleport.org/cities/bengaluru/,$430,$330,$230,https://teleport.org/cities/bengaluru/,Bengaluru,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Bengaluru is one of the top ten city matches for 2.0% of Teleport users."
24,49,0.37,2,31,13,University of Bergen,https://teleport.org/cities/bergen/,$54.00,$4.00,$90.00,$22.00,https://teleport.org/cities/bergen/,$1800,$1500,$1200,https://teleport.org/cities/bergen/,Bergen,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality."
25,142,0.78,1,30,10,Humboldt University of Berlin,https://teleport.org/cities/berlin/,$41.00,$1.20,$100.00,$10.00,https://teleport.org/cities/berlin/,$1500,$1200,$850,https://teleport.org/cities/berlin/,Berlin,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe.
Berlin is one of the top ten city matches for 30.8% of Teleport users."
26,152,0.70,3,24,11,University of Bern,https://teleport.org/cities/bern/,$110.00,$1.70,$91.00,$23.00,https://teleport.org/cities/bern/,$2200,$1700,$1200,https://teleport.org/cities/bern/,Bern,"Bern, Switzerland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Bern is one of the top ten city matches for 2.3% of Teleport users."
27,42,0.59,1,10,17,490.84,https://teleport.org/cities/bilbao/,$56.00,$1.10,$51.00,$15.00,https://teleport.org/cities/bilbao/,$1300,$1100,$840,https://teleport.org/cities/bilbao/,Bilbao,"Bilbao, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare."
28,102,0.69,0,6,17,University of Birmingham,https://teleport.org/cities/birmingham/,$34.00,$3.00,$82.00,$16.00,https://teleport.org/cities/birmingham/,$1600,$1500,$1300,https://teleport.org/cities/birmingham/,Birmingham,"Birmingham, United Kingdom, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.
Birmingham is one of the top ten city matches for 0.6% of Teleport users."
29,76,No hay dato,26,6,48,University of the Andes,https://teleport.org/cities/bogota/,$46.00,$0.96,$35.00,$4.60,https://teleport.org/cities/bogota/,$710,$570,$430,https://teleport.org/cities/bogota/,Bogota,"Bogota, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, tolerance and outdoors.
Bogota is one of the top ten city matches for 1.4% of Teleport users."
30,16,0.11,14,185,16,478.04,https://teleport.org/cities/boise/,$31.00,$1.60,$36.00,$13.00,https://teleport.org/cities/boise/,$1300,$1000,$800,https://teleport.org/cities/boise/,Boise,"Boise, Idaho, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
